"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46135","0","10","70","0","2010","A","","Yankton County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",820,11772,392056765,89734778,2133406,640,33303,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-0.8,-36,-0.3,13328656,3.5,476594,0.5,1170770,121.6,23,3.7,1228,3.8
"46135","1","10","71","0","2010","A","","Yankton County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,227,12885732,0,0,1093,56828,"",3.27,0.83,0.95,0.00,0.00,1.15,1.15,"",1,5.3,12,5.6,751259,6.2,0,0.0,0,0.0,8,0.7,389,0.7
"46135","1","102","72","0","2010","A","","Yankton County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",20,227,12885732,0,0,1093,56828,"",3.28,0.84,0.97,0.00,0.00,1.16,1.15,"",1,5.3,12,5.6,751259,6.2,0,0.0,0,0.0,8,0.7,389,0.7
"46135","1","1021","73","0","2010","A","","Yankton County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,44,2029299,0,0,894,46472,"",2.09,0.65,0.76,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,36375,1.8,0,0.0,0,0.0,30,3.5,1519,3.4
"46135","1","1023","73","0","2010","A","","Yankton County, South Dakota","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,320477,0,0,1233,64095,"",12.42,3.37,3.26,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,10184,3.3,0,0.0,0,0.0,40,3.4,2036,3.3
"46135","1","1026","73","0","2010","A","","Yankton County, South Dakota","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,15,619116,0,0,789,41046,"",6.43,2.71,4.06,0.00,0.00,1.49,1.49,"",0,0.0,6,66.7,218549,54.6,0,0.0,0,0.0,-51,-6.1,-2652,-6.1
"46135","1","1028","73","0","2010","A","","Yankton County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,163,9916840,0,0,1170,60840,"",4.45,1.05,1.19,0.00,0.00,1.13,1.13,"",1,9.1,6,3.8,486151,5.2,0,0.0,0,0.0,11,0.9,580,1.0
"46135","1","48-49","74","0","2010","A","","Yankton County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,44,2029299,0,0,894,46472,"",2.15,0.71,0.81,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,36375,1.8,0,0.0,0,0.0,30,3.5,1519,3.4
"46135","1","491","75","0","2010","A","","Yankton County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,44,2029299,0,0,894,46472,"",2.17,0.73,0.84,0.00,0.00,1.17,1.17,"",0,0.0,0,0.0,36375,1.8,0,0.0,0,0.0,30,3.5,1519,3.4
"46135","1","4911","76","0","2010","A","","Yankton County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,44,2029299,0,0,894,46472,"",2.17,0.73,0.84,0.00,0.00,1.17,1.17,"",0,0.0,0,0.0,36375,1.8,0,0.0,0,0.0,30,3.5,1519,3.4
