"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47167","0","10","70","0","2010","A","","Tipton County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",743,9674,305285292,74139170,2317925,607,31557,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-0.9,-495,-4.9,-6259803,-2.0,-2284692,-3.0,-92191,-3.8,18,3.1,921,3.0
"47167","1","10","71","0","2010","A","","Tipton County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,117,5212969,0,0,860,44715,"",2.53,0.52,0.49,0.00,0.00,0.96,0.96,"",0,0.0,9,8.3,173639,3.4,0,0.0,0,0.0,-41,-4.6,-2162,-4.6
"47167","1","101","72","0","2010","A","","Tipton County, Tennessee","Federal Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,5,374068,0,0,1541,80157,"",99.21,1.45,2.11,0.00,0.00,1.56,1.56,"",0,0.0,0,0.0,78547,26.6,0,0.0,0,0.0,323,26.5,16831,26.6
"47167","1","1012","73","0","2010","A","","Tipton County, Tennessee","Federal Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,5,374068,0,0,1541,80157,"",6051.89,13212.78,19574.07,0.00,0.00,1.48,1.48,"",0,0.0,0,0.0,78547,26.6,0,0.0,0,0.0,323,26.5,16831,26.6
"47167","1","102","72","0","2010","A","","Tipton County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,112,4838901,0,0,831,43237,"",2.35,0.50,0.47,0.00,0.00,0.93,0.93,"",0,0.0,9,8.7,95092,2.0,0,0.0,0,0.0,-56,-6.3,-2894,-6.3
"47167","1","1021","73","0","2010","A","","Tipton County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,81,3608850,0,0,855,44462,"",3.08,1.45,1.73,0.00,0.00,1.19,1.19,"",0,0.0,-5,-5.8,-177180,-4.7,0,0.0,0,0.0,12,1.4,608,1.4
"47167","1","1023","73","0","2010","A","","Tipton County, Tennessee","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,232740,0,0,1989,103440,"",13.71,1.64,3.04,0.00,0.00,1.65,1.65,"",0,0.0,-2,-50.0,-63837,-21.5,0,0.0,0,0.0,533,36.6,27718,36.6
"47167","1","1028","73","0","2010","A","","Tipton County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,29,997311,0,0,673,34993,"",1.64,0.23,0.15,0.00,0.00,0.69,0.69,"",0,0.0,16,123.1,336109,50.8,0,0.0,0,0.0,-337,-33.4,-17553,-33.4
"47167","1","23","74","0","2010","A","","Tipton County, Tennessee","Federal Government","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,374068,0,0,1541,80157,"",6051.89,13212.78,19574.07,0.00,0.00,1.48,1.48,"",0,0.0,0,0.0,78547,26.6,0,0.0,0,0.0,323,26.5,16831,26.6
"47167","1","237","75","0","2010","A","","Tipton County, Tennessee","Federal Government","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,374068,0,0,1541,80157,"",12103.78,13212.78,19574.07,0.00,0.00,1.48,1.48,"",0,0.0,0,0.0,78547,26.6,0,0.0,0,0.0,323,26.5,16831,26.6
"47167","1","2371","76","0","2010","A","","Tipton County, Tennessee","Federal Government","Utility system construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,374068,0,0,1541,80157,"",12103.78,13212.78,19574.07,0.00,0.00,1.48,1.48,"",0,0.0,0,0.0,78547,26.6,0,0.0,0,0.0,323,26.5,16831,26.6
"47167","1","23713","77","0","2010","A","","Tipton County, Tennessee","Federal Government","Power and communication system construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,374068,0,0,1541,80157,"",12103.78,13212.78,19574.07,0.00,0.00,1.48,1.48,"",0,0.0,0,0.0,78547,26.6,0,0.0,0,0.0,323,26.5,16831,26.6
"47167","1","237130","78","0","2010","A","","Tipton County, Tennessee","Federal Government","Power and communication system construction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,374068,0,0,1541,80157,"",12103.78,13212.78,19574.07,0.00,0.00,1.48,1.48,"",0,0.0,0,0.0,78547,26.6,0,0.0,0,0.0,323,26.5,16831,26.6
"47167","1","48-49","74","0","2010","A","","Tipton County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,81,3608850,0,0,855,44462,"",3.17,1.60,1.85,0.00,0.00,1.16,1.16,"",0,0.0,-5,-5.8,-177180,-4.7,0,0.0,0,0.0,12,1.4,608,1.4
"47167","1","491","75","0","2010","A","","Tipton County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,81,3608850,0,0,855,44462,"",3.19,1.63,1.93,0.00,0.00,1.18,1.18,"",0,0.0,-5,-5.8,-177180,-4.7,0,0.0,0,0.0,12,1.4,608,1.4
"47167","1","4911","76","0","2010","A","","Tipton County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,81,3608850,0,0,855,44462,"",3.19,1.63,1.93,0.00,0.00,1.18,1.18,"",0,0.0,-5,-5.8,-177180,-4.7,0,0.0,0,0.0,12,1.4,608,1.4
"47167","1","49111","77","0","2010","A","","Tipton County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,81,3608850,0,0,855,44462,"",3.19,1.63,1.93,0.00,0.00,1.18,1.18,"",0,0.0,-5,-5.8,-177180,-4.7,0,0.0,0,0.0,12,1.4,608,1.4
"47167","1","491110","78","0","2010","A","","Tipton County, Tennessee","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,81,3608850,0,0,855,44462,"",3.19,1.63,1.93,0.00,0.00,1.18,1.18,"",0,0.0,-5,-5.8,-177180,-4.7,0,0.0,0,0.0,12,1.4,608,1.4
"47167","1","52","74","0","2010","A","","Tipton County, Tennessee","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,232740,0,0,1989,103440,"",13.77,1.65,3.05,0.00,0.00,1.64,1.64,"",0,0.0,-2,-50.0,-63837,-21.5,0,0.0,0,0.0,533,36.6,27718,36.6
"47167","1","522","75","0","2010","A","","Tipton County, Tennessee","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,232740,0,0,1989,103440,"",16.40,3.70,8.34,0.00,0.00,2.00,2.00,"",0,0.0,-2,-50.0,-63837,-21.5,0,0.0,0,0.0,533,36.6,27718,36.6
"47167","1","5222","76","0","2010","A","","Tipton County, Tennessee","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,232740,0,0,1989,103440,"",16.42,3.71,8.37,0.00,0.00,2.00,2.00,"",0,0.0,-2,-50.0,-63837,-21.5,0,0.0,0,0.0,533,36.6,27718,36.6
"47167","1","52229","77","0","2010","A","","Tipton County, Tennessee","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,232740,0,0,1989,103440,"",16.42,3.71,8.37,0.00,0.00,2.00,2.00,"",0,0.0,-2,-50.0,-63837,-21.5,0,0.0,0,0.0,533,36.6,27718,36.6
