"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48095","0","10","70","0","2010","A","","Concho County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",81,853,25766735,7262735,134389,581,30195,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-4.7,-12,-1.4,57416,0.2,-1497,0.0,70829,111.4,9,1.6,473,1.6
"48095","1","10","71","0","2010","A","","Concho County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,30,1534795,0,0,992,51590,"",14.92,1.51,1.73,0.00,0.00,1.15,1.15,"",0,0.0,-1,-3.2,-44307,-2.8,0,0.0,0,0.0,20,2.1,1059,2.1
"48095","1","102","72","0","2010","A","","Concho County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,30,1534795,0,0,992,51590,"",14.94,1.53,1.76,0.00,0.00,1.15,1.16,"",0,0.0,-1,-3.2,-44307,-2.8,0,0.0,0,0.0,20,2.1,1059,2.1
"48095","1","1021","73","0","2010","A","","Concho County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,9,264701,0,0,560,29141,"",17.64,1.83,1.51,0.00,0.00,0.81,0.81,"",0,0.0,-1,-10.0,-27969,-9.6,0,0.0,0,0.0,-8,-1.4,-372,-1.3
"48095","1","1028","73","0","2010","A","","Concho County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,21,1270094,0,0,1182,61456,"",15.01,1.87,2.32,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,-16338,-1.3,0,0.0,0,0.0,22,1.9,1154,1.9
"48095","1","48-49","74","0","2010","A","","Concho County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,9,264701,0,0,560,29141,"",18.15,2.01,1.61,0.00,0.00,0.79,0.79,"",0,0.0,-1,-10.0,-27969,-9.6,0,0.0,0,0.0,-8,-1.4,-372,-1.3
"48095","1","491","75","0","2010","A","","Concho County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,9,264701,0,0,560,29141,"",18.29,2.06,1.68,0.00,0.00,0.81,0.81,"",0,0.0,-1,-10.0,-27969,-9.6,0,0.0,0,0.0,-8,-1.4,-372,-1.3
"48095","1","4911","76","0","2010","A","","Concho County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,9,264701,0,0,560,29141,"",18.29,2.06,1.68,0.00,0.00,0.81,0.81,"",0,0.0,-1,-10.0,-27969,-9.6,0,0.0,0,0.0,-8,-1.4,-372,-1.3
"48095","1","49111","77","0","2010","A","","Concho County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,9,264701,0,0,560,29141,"",18.29,2.06,1.68,0.00,0.00,0.81,0.81,"",0,0.0,-1,-10.0,-27969,-9.6,0,0.0,0,0.0,-8,-1.4,-372,-1.3
"48095","1","491110","78","0","2010","A","","Concho County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,9,264701,0,0,560,29141,"",18.29,2.06,1.68,0.00,0.00,0.81,0.81,"",0,0.0,-1,-10.0,-27969,-9.6,0,0.0,0,0.0,-8,-1.4,-372,-1.3
"48095","1","92","74","0","2010","A","","Concho County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,21,1270094,0,0,1182,61456,"",15.01,1.87,2.32,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,-16338,-1.3,0,0.0,0,0.0,22,1.9,1154,1.9
"48095","1","922","75","0","2010","A","","Concho County, Texas","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,11,849766,0,0,1508,78440,"",29.02,6.50,8.64,0.00,0.00,1.35,1.35,"",0,0.0,-1,-8.3,-35257,-4.0,0,0.0,0,0.0,90,6.3,4688,6.4
"48095","1","9221","76","0","2010","A","","Concho County, Texas","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,11,849766,0,0,1508,78440,"",29.02,6.50,8.64,0.00,0.00,1.35,1.35,"",0,0.0,-1,-8.3,-35257,-4.0,0,0.0,0,0.0,90,6.3,4688,6.4
"48095","1","92212","77","0","2010","A","","Concho County, Texas","Federal Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,11,849766,0,0,1508,78440,"",55.46,11.90,15.00,0.00,0.00,1.28,1.28,"",0,0.0,-1,-8.3,-35257,-4.0,0,0.0,0,0.0,90,6.3,4688,6.4
"48095","1","922120","78","0","2010","A","","Concho County, Texas","Federal Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,11,849766,0,0,1508,78440,"",55.46,11.90,15.00,0.00,0.00,1.28,1.28,"",0,0.0,-1,-8.3,-35257,-4.0,0,0.0,0,0.0,90,6.3,4688,6.4
"48095","1","924","75","0","2010","A","","Concho County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,420328,0,0,822,42745,"",33.81,13.22,12.01,0.00,0.00,0.92,0.92,"",0,0.0,1,11.1,19463,4.9,0,0.0,0,0.0,-11,-1.3,-592,-1.4
"48095","1","9241","76","0","2010","A","","Concho County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,10,420328,0,0,822,42745,"",33.81,13.22,12.01,0.00,0.00,0.92,0.92,"",0,0.0,1,11.1,19463,4.9,0,0.0,0,0.0,-11,-1.3,-592,-1.4
