"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48217","0","10","70","0","2010","A","","Hill County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",753,9161,268371380,64311133,1384234,563,29296,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.3,-138,-1.5,7565573,2.9,198160,0.3,766339,124.0,24,4.5,1249,4.5
"48217","1","10","71","0","2010","A","","Hill County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,118,4579587,0,0,747,38837,"",3.39,0.55,0.49,0.00,0.00,0.90,0.90,"",0,0.0,14,13.5,278827,6.5,0,0.0,0,0.0,-45,-5.7,-2351,-5.7
"48217","1","102","72","0","2010","A","","Hill County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,118,4579587,0,0,747,38837,"",3.39,0.56,0.50,0.00,0.00,0.90,0.90,"",0,0.0,14,13.5,278827,6.5,0,0.0,0,0.0,-45,-5.7,-2351,-5.7
"48217","1","1021","73","0","2010","A","","Hill County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",15,71,2848756,0,0,774,40265,"",5.69,1.35,1.56,0.00,0.00,1.16,1.16,"",0,0.0,-5,-6.6,-98476,-3.3,0,0.0,0,0.0,30,4.0,1570,4.1
"48217","1","1023","73","0","2010","A","","Hill County, Texas","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,13,759133,0,0,1145,59540,"",13.53,11.26,11.28,0.00,0.00,1.02,1.02,"",0,0.0,1,8.3,66230,9.6,0,0.0,0,0.0,-14,-1.2,-712,-1.2
"48217","1","1028","73","0","2010","A","","Hill County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,34,971698,0,0,543,28233,"",1.21,0.28,0.17,0.00,0.00,0.60,0.60,"",0,0.0,17,100.0,311073,47.1,0,0.0,0,0.0,-215,-28.4,-11207,-28.4
"48217","1","48-49","74","0","2010","A","","Hill County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",15,71,2848756,0,0,774,40265,"",5.86,1.48,1.67,0.00,0.00,1.13,1.13,"",0,0.0,-5,-6.6,-98476,-3.3,0,0.0,0,0.0,30,4.0,1570,4.1
"48217","1","491","75","0","2010","A","","Hill County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,71,2848756,0,0,774,40265,"",5.90,1.51,1.73,0.00,0.00,1.15,1.15,"",0,0.0,-5,-6.6,-98476,-3.3,0,0.0,0,0.0,30,4.0,1570,4.1
"48217","1","4911","76","0","2010","A","","Hill County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",15,71,2848756,0,0,774,40265,"",5.90,1.51,1.73,0.00,0.00,1.15,1.15,"",0,0.0,-5,-6.6,-98476,-3.3,0,0.0,0,0.0,30,4.0,1570,4.1
"48217","1","49111","77","0","2010","A","","Hill County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",15,71,2848756,0,0,774,40265,"",5.90,1.51,1.73,0.00,0.00,1.15,1.15,"",0,0.0,-5,-6.6,-98476,-3.3,0,0.0,0,0.0,30,4.0,1570,4.1
"48217","1","491110","78","0","2010","A","","Hill County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",15,71,2848756,0,0,774,40265,"",5.90,1.51,1.73,0.00,0.00,1.15,1.15,"",0,0.0,-5,-6.6,-98476,-3.3,0,0.0,0,0.0,30,4.0,1570,4.1
"48217","1","52","74","0","2010","A","","Hill County, Texas","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,13,759133,0,0,1145,59540,"",13.59,11.32,11.30,0.00,0.00,1.02,1.02,"",0,0.0,1,8.3,66230,9.6,0,0.0,0,0.0,-14,-1.2,-712,-1.2
"48217","1","522","75","0","2010","A","","Hill County, Texas","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,759133,0,0,1145,59540,"",16.18,25.39,30.95,0.00,0.00,1.24,1.24,"",0,0.0,1,8.3,66230,9.6,0,0.0,0,0.0,-14,-1.2,-712,-1.2
"48217","1","5222","76","0","2010","A","","Hill County, Texas","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,13,759133,0,0,1145,59540,"",16.20,25.49,31.06,0.00,0.00,1.24,1.24,"",0,0.0,1,8.3,66230,9.6,0,0.0,0,0.0,-14,-1.2,-712,-1.2
"48217","1","52229","77","0","2010","A","","Hill County, Texas","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,13,759133,0,0,1145,59540,"",16.20,25.49,31.06,0.00,0.00,1.24,1.24,"",0,0.0,1,8.3,66230,9.6,0,0.0,0,0.0,-14,-1.2,-712,-1.2
"48217","1","522292","78","0","2010","A","","Hill County, Texas","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,13,759133,0,0,1145,59540,"",44.40,60.38,85.44,0.00,0.00,1.44,1.44,"",0,0.0,1,8.3,66230,9.6,0,0.0,0,0.0,-14,-1.2,-712,-1.2
"48217","1","92","74","0","2010","A","","Hill County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,34,971698,0,0,543,28233,"",1.21,0.28,0.17,0.00,0.00,0.60,0.60,"",0,0.0,17,100.0,311073,47.1,0,0.0,0,0.0,-215,-28.4,-11207,-28.4
"48217","1","924","75","0","2010","A","","Hill County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,13,616311,0,0,895,46514,"",3.64,1.60,1.69,0.00,0.00,1.04,1.04,"",0,0.0,0,0.0,37668,6.5,0,0.0,0,0.0,5,0.6,223,0.5
"48217","1","9241","76","0","2010","A","","Hill County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,13,616311,0,0,895,46514,"",3.64,1.60,1.69,0.00,0.00,1.04,1.04,"",0,0.0,0,0.0,37668,6.5,0,0.0,0,0.0,5,0.6,223,0.5
"48217","1","92412","77","0","2010","A","","Hill County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,13,616311,0,0,895,46514,"",3.76,1.91,2.22,0.00,0.00,1.14,1.14,"",0,0.0,0,0.0,37668,6.5,0,0.0,0,0.0,5,0.6,223,0.5
"48217","1","924120","78","0","2010","A","","Hill County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,13,616311,0,0,895,46514,"",3.76,1.91,2.22,0.00,0.00,1.14,1.14,"",0,0.0,0,0.0,37668,6.5,0,0.0,0,0.0,5,0.6,223,0.5
"48217","1","926","75","0","2010","A","","Hill County, Texas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,21,355387,0,0,323,16790,"",1.05,0.79,0.35,0.00,0.00,0.44,0.44,"",0,0.0,17,425.0,273405,333.5,0,0.0,0,0.0,-48,-12.9,-2500,-13.0
"48217","1","9261","76","0","2010","A","","Hill County, Texas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,21,355387,0,0,323,16790,"",1.05,0.79,0.35,0.00,0.00,0.44,0.44,"",0,0.0,17,425.0,273405,333.5,0,0.0,0,0.0,-48,-12.9,-2500,-13.0
"48217","1","92611","77","0","2010","A","","Hill County, Texas","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,21,355387,0,0,323,16790,"",2.32,1.70,1.27,0.00,0.00,0.74,0.74,"",0,0.0,17,425.0,273405,333.5,0,0.0,0,0.0,-48,-12.9,-2500,-13.0
"48217","1","926110","78","0","2010","A","","Hill County, Texas","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,21,355387,0,0,323,16790,"",2.32,1.70,1.27,0.00,0.00,0.74,0.74,"",0,0.0,17,425.0,273405,333.5,0,0.0,0,0.0,-48,-12.9,-2500,-13.0
"48217","2","10","71","0","2010","A","","Hill County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,129,6655744,0,0,990,51495,"",1.78,0.39,0.66,0.00,0.00,1.68,1.68,"",0,0.0,-7,-5.1,-363077,-5.2,0,0.0,0,0.0,-6,-0.6,-273,-0.5
"48217","2","101","72","0","2010","A","N","Hill County, Texas","State Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",6.42,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48217","2","1012","73","0","2010","A","N","Hill County, Texas","State Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",7.06,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48217","2","102","72","0","2010","A","N","Hill County, Texas","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,0,0,0,0,0,0,"N",1.65,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48217","2","1025","73","0","2010","A","N","Hill County, Texas","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",0.89,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48217","2","1028","73","0","2010","A","","Hill County, Texas","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,58,1861150,0,0,622,32321,"",1.98,0.43,0.44,0.00,0.00,1.03,1.03,"",0,0.0,3,5.5,4153,0.2,0,0.0,0,0.0,-30,-4.6,-1597,-4.7
"48217","2","23","74","0","2010","A","N","Hill County, Texas","State Government","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",7.06,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48217","2","237","75","0","2010","A","N","Hill County, Texas","State Government","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",7.08,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48217","2","2373","76","0","2010","A","N","Hill County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",7.10,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
