"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48287","0","10","70","0","2010","A","","Lee County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",418,5515,214369094,43976635,943798,748,38871,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-10,-2.3,210,4.0,25562126,13.5,5058717,13.0,663943,237.2,64,9.4,3278,9.2
"48287","1","10","71","0","2010","A","","Lee County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,32,1268875,0,0,761,39549,"",1.93,0.25,0.17,0.00,0.00,0.69,0.69,"",1,20.0,0,0.0,-30046,-2.3,0,0.0,0,0.0,-24,-3.1,-1255,-3.1
"48287","1","102","72","0","2010","A","","Lee County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,32,1268875,0,0,761,39549,"",1.93,0.25,0.17,0.00,0.00,0.69,0.69,"",1,20.0,0,0.0,-30046,-2.3,0,0.0,0,0.0,-24,-3.1,-1255,-3.1
"48287","1","1021","73","0","2010","A","","Lee County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,27,1125162,0,0,799,41544,"",2.73,0.85,0.77,0.00,0.00,0.90,0.90,"",0,0.0,0,0.0,-38344,-3.3,0,0.0,0,0.0,-27,-3.3,-1416,-3.3
"48287","1","1028","73","0","2010","A","","Lee County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,5,143713,0,0,553,28743,"",1.45,0.07,0.03,0.00,0.00,0.46,0.46,"",1,100.0,0,0.0,8298,6.1,0,0.0,0,0.0,5,0.9,235,0.8
"48287","1","48-49","74","0","2010","A","","Lee County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,27,1125162,0,0,799,41544,"",2.81,0.93,0.82,0.00,0.00,0.88,0.88,"",0,0.0,0,0.0,-38344,-3.3,0,0.0,0,0.0,-27,-3.3,-1416,-3.3
"48287","1","491","75","0","2010","A","","Lee County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,27,1125162,0,0,799,41544,"",2.84,0.95,0.86,0.00,0.00,0.89,0.89,"",0,0.0,0,0.0,-38344,-3.3,0,0.0,0,0.0,-27,-3.3,-1416,-3.3
"48287","1","4911","76","0","2010","A","","Lee County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,27,1125162,0,0,799,41544,"",2.84,0.95,0.86,0.00,0.00,0.89,0.89,"",0,0.0,0,0.0,-38344,-3.3,0,0.0,0,0.0,-27,-3.3,-1416,-3.3
"48287","1","49111","77","0","2010","A","","Lee County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,27,1125162,0,0,799,41544,"",2.84,0.95,0.86,0.00,0.00,0.89,0.89,"",0,0.0,0,0.0,-38344,-3.3,0,0.0,0,0.0,-27,-3.3,-1416,-3.3
"48287","1","491110","78","0","2010","A","","Lee County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,27,1125162,0,0,799,41544,"",2.84,0.95,0.86,0.00,0.00,0.89,0.89,"",0,0.0,0,0.0,-38344,-3.3,0,0.0,0,0.0,-27,-3.3,-1416,-3.3
"48287","1","92","74","0","2010","A","","Lee County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",2,5,143713,0,0,553,28743,"",1.45,0.07,0.03,0.00,0.00,0.46,0.46,"",1,100.0,0,0.0,8298,6.1,0,0.0,0,0.0,5,0.9,235,0.8
"48287","1","924","75","0","2010","A","","Lee County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,142681,0,0,558,29020,"",3.28,1.02,0.49,0.00,0.00,0.49,0.49,"",0,0.0,0,0.0,7266,5.4,0,0.0,0,0.0,10,1.8,512,1.8
"48287","1","9241","76","0","2010","A","","Lee County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,142681,0,0,558,29020,"",3.28,1.02,0.49,0.00,0.00,0.49,0.49,"",0,0.0,0,0.0,7266,5.4,0,0.0,0,0.0,10,1.8,512,1.8
"48287","1","92412","77","0","2010","A","","Lee County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,142681,0,0,558,29020,"",3.39,1.22,0.64,0.00,0.00,0.54,0.54,"",0,0.0,0,0.0,7266,5.4,0,0.0,0,0.0,10,1.8,512,1.8
"48287","1","924120","78","0","2010","A","","Lee County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,142681,0,0,558,29020,"",3.39,1.22,0.64,0.00,0.00,0.54,0.54,"",0,0.0,0,0.0,7266,5.4,0,0.0,0,0.0,10,1.8,512,1.8
"48287","1","926","75","0","2010","A","","Lee County, Texas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,1032,0,0,238,12384,"",1.89,0.00,0.00,0.00,0.00,0.25,0.25,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","1","9261","76","0","2010","A","","Lee County, Texas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,1032,0,0,238,12384,"",1.89,0.00,0.00,0.00,0.00,0.25,0.25,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","1","92611","77","0","2010","A","","Lee County, Texas","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,1032,0,0,238,12384,"",4.19,0.00,0.00,0.00,0.00,0.41,0.41,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","1","926110","78","0","2010","A","","Lee County, Texas","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,1032,0,0,238,12384,"",4.19,0.00,0.00,0.00,0.00,0.41,0.41,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","10","71","0","2010","A","","Lee County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,500,20639114,0,0,793,41258,"",3.86,2.52,2.55,0.00,0.00,1.01,1.01,"",0,0.0,-9,-1.8,761411,3.8,0,0.0,0,0.0,43,5.7,2237,5.7
"48287","2","101","72","0","2010","A","N","Lee County, Texas","State Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",11.57,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","1012","73","0","2010","A","N","Lee County, Texas","State Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",12.72,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","102","72","0","2010","A","N","Lee County, Texas","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,0,0,0,0,0,0,"N",3.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","1025","73","0","2010","A","N","Lee County, Texas","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",3.19,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","1028","73","0","2010","A","N","Lee County, Texas","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,0,0,0,0,0,0,"N",4.01,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","23","74","0","2010","A","N","Lee County, Texas","State Government","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",12.72,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","237","75","0","2010","A","N","Lee County, Texas","State Government","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",12.76,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","2373","76","0","2010","A","N","Lee County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",12.79,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","23731","77","0","2010","A","N","Lee County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",12.79,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","237310","78","0","2010","A","N","Lee County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",12.79,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","61","74","0","2010","A","N","Lee County, Texas","State Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",2.85,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","611","75","0","2010","A","N","Lee County, Texas","State Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",2.85,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","6113","76","0","2010","A","N","Lee County, Texas","State Government","Colleges and universities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.85,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","61131","77","0","2010","A","N","Lee County, Texas","State Government","Colleges and universities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.85,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","611310","78","0","2010","A","N","Lee County, Texas","State Government","Colleges and universities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.85,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","62","74","0","2010","A","N","Lee County, Texas","State Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","624","75","0","2010","A","N","Lee County, Texas","State Government","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",8.12,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","6241","76","0","2010","A","N","Lee County, Texas","State Government","Individual and family services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",10.71,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","62411","77","0","2010","A","N","Lee County, Texas","State Government","Child and youth services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",28.72,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","624110","78","0","2010","A","N","Lee County, Texas","State Government","Child and youth services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",28.72,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48287","2","92","74","0","2010","A","N","Lee County, Texas","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,0,0,0,0,0,0,"N",4.01,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
