"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48291","0","10","70","0","2010","A","","Liberty County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1094,16360,566407711,124935228,2821375,666,34621,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-21,-1.9,-381,-2.3,7441384,1.3,-1042598,-0.8,1557661,123.3,24,3.7,1231,3.7
"48291","1","10","71","0","2010","A","","Liberty County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,143,6314176,0,0,851,44232,"",1.96,0.37,0.32,0.00,0.00,0.86,0.86,"",0,0.0,12,9.2,249373,4.1,0,0.0,0,0.0,-36,-4.1,-1917,-4.2
"48291","1","102","72","0","2010","A","","Liberty County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,143,6314176,0,0,851,44232,"",1.97,0.38,0.33,0.00,0.00,0.86,0.86,"",0,0.0,12,9.2,249373,4.1,0,0.0,0,0.0,-36,-4.1,-1917,-4.2
"48291","1","1021","73","0","2010","A","","Liberty County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,98,4928579,0,0,963,50079,"",2.35,1.04,1.28,0.00,0.00,1.22,1.22,"",0,0.0,-7,-6.7,-96003,-1.9,0,0.0,0,0.0,46,5.0,2415,5.1
"48291","1","1028","73","0","2010","A","","Liberty County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,44,1385597,0,0,601,31254,"",1.94,0.20,0.12,0.00,0.00,0.56,0.56,"",0,0.0,18,69.2,345376,33.2,0,0.0,0,0.0,-168,-21.8,-8755,-21.9
"48291","1","48-49","74","0","2010","A","","Liberty County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,98,4928579,0,0,963,50079,"",2.42,1.14,1.37,0.00,0.00,1.19,1.19,"",0,0.0,-7,-6.7,-96003,-1.9,0,0.0,0,0.0,46,5.0,2415,5.1
"48291","1","491","75","0","2010","A","","Liberty County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,98,4928579,0,0,963,50079,"",2.44,1.17,1.42,0.00,0.00,1.21,1.21,"",0,0.0,-7,-6.7,-96003,-1.9,0,0.0,0,0.0,46,5.0,2415,5.1
"48291","1","4911","76","0","2010","A","","Liberty County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,98,4928579,0,0,963,50079,"",2.44,1.17,1.42,0.00,0.00,1.21,1.21,"",0,0.0,-7,-6.7,-96003,-1.9,0,0.0,0,0.0,46,5.0,2415,5.1
"48291","1","49111","77","0","2010","A","","Liberty County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,98,4928579,0,0,963,50079,"",2.44,1.17,1.42,0.00,0.00,1.21,1.21,"",0,0.0,-7,-6.7,-96003,-1.9,0,0.0,0,0.0,46,5.0,2415,5.1
"48291","1","491110","78","0","2010","A","","Liberty County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",9,98,4928579,0,0,963,50079,"",2.44,1.17,1.42,0.00,0.00,1.21,1.21,"",0,0.0,-7,-6.7,-96003,-1.9,0,0.0,0,0.0,46,5.0,2415,5.1
"48291","1","92","74","0","2010","A","","Liberty County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,44,1385597,0,0,601,31254,"",1.94,0.20,0.12,0.00,0.00,0.56,0.56,"",0,0.0,18,69.2,345376,33.2,0,0.0,0,0.0,-168,-21.8,-8755,-21.9
"48291","1","922","75","0","2010","A","","Liberty County, Texas","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,79190,0,0,1075,55899,"",2.15,0.03,0.04,0.00,0.00,0.84,0.84,"",0,0.0,-1,-50.0,-18619,-19.0,0,0.0,0,0.0,94,9.6,4868,9.5
"48291","1","9221","76","0","2010","A","","Liberty County, Texas","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,79190,0,0,1075,55899,"",2.15,0.03,0.04,0.00,0.00,0.84,0.84,"",0,0.0,-1,-50.0,-18619,-19.0,0,0.0,0,0.0,94,9.6,4868,9.5
"48291","1","92219","77","0","2010","A","","Liberty County, Texas","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,79190,0,0,1075,55899,"",9.59,0.41,0.49,0.00,0.00,0.85,0.85,"",0,0.0,-1,-50.0,-18619,-19.0,0,0.0,0,0.0,94,9.6,4868,9.5
