"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48365","0","10","70","0","2010","A","","Panola County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",539,8766,349635283,81154648,2082041,767,39883,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.6,405,4.8,31315949,9.8,5848591,7.8,1400179,205.3,35,4.8,1813,4.8
"48365","1","10","71","0","2010","A","","Panola County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,81,3683645,0,0,877,45618,"",2.74,0.40,0.31,0.00,0.00,0.77,0.77,"",0,0.0,2,2.5,225223,6.5,0,0.0,0,0.0,33,3.9,1748,4.0
"48365","1","102","72","0","2010","A","","Panola County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,81,3683645,0,0,877,45618,"",2.74,0.40,0.31,0.00,0.00,0.77,0.77,"",0,0.0,2,2.5,225223,6.5,0,0.0,0,0.0,33,3.9,1748,4.0
"48365","1","1021","73","0","2010","A","","Panola County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,42,1837018,0,0,848,44088,"",3.18,0.83,0.77,0.00,0.00,0.93,0.93,"",0,0.0,-2,-4.5,-84007,-4.4,0,0.0,0,0.0,5,0.6,262,0.6
"48365","1","1028","73","0","2010","A","","Panola County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,39,1846627,0,0,909,47248,"",2.82,0.34,0.25,0.00,0.00,0.73,0.73,"",0,0.0,4,11.4,309230,20.1,0,0.0,0,0.0,64,7.6,3322,7.6
"48365","1","48-49","74","0","2010","A","","Panola County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,42,1837018,0,0,848,44088,"",3.27,0.91,0.82,0.00,0.00,0.91,0.91,"",0,0.0,-2,-4.5,-84007,-4.4,0,0.0,0,0.0,5,0.6,262,0.6
"48365","1","491","75","0","2010","A","","Panola County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,42,1837018,0,0,848,44088,"",3.30,0.93,0.86,0.00,0.00,0.93,0.93,"",0,0.0,-2,-4.5,-84007,-4.4,0,0.0,0,0.0,5,0.6,262,0.6
"48365","1","4911","76","0","2010","A","","Panola County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,42,1837018,0,0,848,44088,"",3.30,0.93,0.86,0.00,0.00,0.93,0.93,"",0,0.0,-2,-4.5,-84007,-4.4,0,0.0,0,0.0,5,0.6,262,0.6
"48365","1","49111","77","0","2010","A","","Panola County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,42,1837018,0,0,848,44088,"",3.30,0.93,0.86,0.00,0.00,0.93,0.93,"",0,0.0,-2,-4.5,-84007,-4.4,0,0.0,0,0.0,5,0.6,262,0.6
"48365","1","491110","78","0","2010","A","","Panola County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,42,1837018,0,0,848,44088,"",3.30,0.93,0.86,0.00,0.00,0.93,0.93,"",0,0.0,-2,-4.5,-84007,-4.4,0,0.0,0,0.0,5,0.6,262,0.6
"48365","1","92","74","0","2010","A","","Panola County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,39,1846627,0,0,909,47248,"",2.82,0.34,0.25,0.00,0.00,0.73,0.73,"",0,0.0,4,11.4,309230,20.1,0,0.0,0,0.0,64,7.6,3322,7.6
"48365","1","924","75","0","2010","A","","Panola County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,197578,0,0,877,45595,"",5.08,0.51,0.42,0.00,0.00,0.75,0.75,"",0,0.0,-1,-20.0,4605,2.4,0,0.0,0,0.0,122,16.2,6346,16.2
"48365","1","9241","76","0","2010","A","","Panola County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,197578,0,0,877,45595,"",5.08,0.51,0.42,0.00,0.00,0.75,0.75,"",0,0.0,-1,-20.0,4605,2.4,0,0.0,0,0.0,122,16.2,6346,16.2
"48365","1","92412","77","0","2010","A","","Panola County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,197578,0,0,877,45595,"",5.26,0.61,0.55,0.00,0.00,0.82,0.82,"",0,0.0,-1,-20.0,4605,2.4,0,0.0,0,0.0,122,16.2,6346,16.2
"48365","1","924120","78","0","2010","A","","Panola County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,197578,0,0,877,45595,"",5.26,0.61,0.55,0.00,0.00,0.82,0.82,"",0,0.0,-1,-20.0,4605,2.4,0,0.0,0,0.0,122,16.2,6346,16.2
"48365","1","926","75","0","2010","A","","Panola County, Texas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,35,1649049,0,0,913,47455,"",4.39,1.38,1.26,0.00,0.00,0.92,0.92,"",0,0.0,5,16.7,304625,22.7,0,0.0,0,0.0,54,6.3,2765,6.2
"48365","1","9261","76","0","2010","A","","Panola County, Texas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,35,1649049,0,0,913,47455,"",4.39,1.38,1.26,0.00,0.00,0.92,0.92,"",0,0.0,5,16.7,304625,22.7,0,0.0,0,0.0,54,6.3,2765,6.2
"48365","1","92611","77","0","2010","A","","Panola County, Texas","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,103375,0,0,314,16322,"",3.25,0.51,0.28,0.00,0.00,0.53,0.53,"",0,0.0,5,500.0,70196,211.6,0,0.0,0,0.0,-136,-30.2,-7098,-30.3
"48365","1","926110","78","0","2010","A","","Panola County, Texas","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,103375,0,0,314,16322,"",3.25,0.51,0.28,0.00,0.00,0.53,0.53,"",0,0.0,5,500.0,70196,211.6,0,0.0,0,0.0,-136,-30.2,-7098,-30.3
"48365","1","92614","77","0","2010","A","","Panola County, Texas","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,28,1545674,0,0,1046,54393,"",9.43,8.19,7.55,0.00,0.00,0.91,0.91,"",0,0.0,-1,-3.4,234429,17.9,0,0.0,0,0.0,166,18.9,8652,18.9
"48365","1","926140","78","0","2010","A","","Panola County, Texas","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,28,1545674,0,0,1046,54393,"",9.43,8.19,7.55,0.00,0.00,0.91,0.91,"",0,0.0,-1,-3.4,234429,17.9,0,0.0,0,0.0,166,18.9,8652,18.9
"48365","2","10","71","0","2010","A","","Panola County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,57,2681985,0,0,905,47052,"",3.24,0.18,0.20,0.00,0.00,1.13,1.13,"",1,8.3,-2,-3.4,-7662,-0.3,0,0.0,0,0.0,21,2.4,1075,2.3
"48365","2","101","72","0","2010","A","N","Panola County, Texas","State Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",8.98,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","1012","73","0","2010","A","N","Panola County, Texas","State Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",9.87,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","102","72","0","2010","A","N","Panola County, Texas","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,0,0,0,0,0,0,"N",3.08,0,0,0,0,0,0,"N",1,9.1,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","1025","73","0","2010","A","N","Panola County, Texas","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,"N",4.96,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","1028","73","0","2010","A","","Panola County, Texas","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,34,1486980,0,0,837,43521,"",2.77,0.27,0.27,0.00,0.00,1.02,1.02,"",0,0.0,1,3.0,65751,4.6,0,0.0,0,0.0,17,2.1,884,2.1
"48365","2","23","74","0","2010","A","N","Panola County, Texas","State Government","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",9.87,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","237","75","0","2010","A","N","Panola County, Texas","State Government","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",9.90,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","2373","76","0","2010","A","N","Panola County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",9.92,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","23731","77","0","2010","A","N","Panola County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",9.92,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","237310","78","0","2010","A","N","Panola County, Texas","State Government","Highway, street, and bridge construction","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",9.92,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","61","74","0","2010","A","N","Panola County, Texas","State Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",4.42,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","611","75","0","2010","A","N","Panola County, Texas","State Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",4.42,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","6113","76","0","2010","A","N","Panola County, Texas","State Government","Colleges and universities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",5.97,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","61131","77","0","2010","A","N","Panola County, Texas","State Government","Colleges and universities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",5.97,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","611310","78","0","2010","A","N","Panola County, Texas","State Government","Colleges and universities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",5.97,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","62","74","0","2010","A","N","Panola County, Texas","State Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",5.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","624","75","0","2010","A","N","Panola County, Texas","State Government","Social assistance","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",12.59,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","6241","76","0","2010","A","N","Panola County, Texas","State Government","Individual and family services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",16.61,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","62411","77","0","2010","A","N","Panola County, Texas","State Government","Child and youth services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",22.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","624110","78","0","2010","A","N","Panola County, Texas","State Government","Child and youth services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",22.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","62419","77","0","2010","A","N","Panola County, Texas","State Government","Other individual and family services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",15.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","624190","78","0","2010","A","N","Panola County, Texas","State Government","Other individual and family services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",15.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","92","74","0","2010","A","","Panola County, Texas","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,34,1486980,0,0,837,43521,"",2.77,0.27,0.27,0.00,0.00,1.02,1.02,"",0,0.0,1,3.0,65751,4.6,0,0.0,0,0.0,17,2.1,884,2.1
"48365","2","922","75","0","2010","A","N","Panola County, Texas","State Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","9221","76","0","2010","A","N","Panola County, Texas","State Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",1.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","92212","77","0","2010","A","N","Panola County, Texas","State Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",6.60,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","922120","78","0","2010","A","N","Panola County, Texas","State Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",6.60,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","923","75","0","2010","A","","Panola County, Texas","State Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,9,444289,0,0,949,49365,"",4.91,0.31,0.37,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,11398,2.6,0,0.0,0,0.0,24,2.6,1266,2.6
"48365","2","9231","76","0","2010","A","","Panola County, Texas","State Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,9,444289,0,0,949,49365,"",4.91,0.31,0.37,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,11398,2.6,0,0.0,0,0.0,24,2.6,1266,2.6
"48365","2","92312","77","0","2010","A","","Panola County, Texas","State Government","Administration of public health programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,9,444289,0,0,949,49365,"",15.54,0.98,1.18,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,11398,2.6,0,0.0,0,0.0,24,2.6,1266,2.6
"48365","2","923120","78","0","2010","A","","Panola County, Texas","State Government","Administration of public health programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,9,444289,0,0,949,49365,"",15.54,0.98,1.18,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,11398,2.6,0,0.0,0,0.0,24,2.6,1266,2.6
"48365","2","924","75","0","2010","A","N","Panola County, Texas","State Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",4.96,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","9241","76","0","2010","A","N","Panola County, Texas","State Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",4.96,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","92412","77","0","2010","A","N","Panola County, Texas","State Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",6.15,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","924120","78","0","2010","A","N","Panola County, Texas","State Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",6.15,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","926","75","0","2010","A","N","Panola County, Texas","State Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",2.97,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","9261","76","0","2010","A","N","Panola County, Texas","State Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",2.97,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","92614","77","0","2010","A","N","Panola County, Texas","State Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",9.77,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","2","926140","78","0","2010","A","N","Panola County, Texas","State Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",9.77,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","3","10","71","0","2010","A","","Panola County, Texas","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",27,1355,43124596,1249100,26222,612,31828,"",2.75,1.41,1.21,0.99,2.23,0.86,0.86,"",1,3.8,147,12.2,2808170,7.0,5744,0.5,20017,322.6,-30,-4.7,-1547,-4.6
"48365","3","101","72","0","2010","A","N","Panola County, Texas","Local Government","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.54,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","3","1012","73","0","2010","A","N","Panola County, Texas","Local Government","Construction","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.63,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","3","102","72","0","2010","A","N","Panola County, Texas","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",26,0,0,0,0,0,0,"N",2.73,0,0,0,0,0,0,"N",1,4.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","3","1021","73","0","2010","A","N","Panola County, Texas","Local Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",2.86,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","3","1022","73","0","2010","A","N","Panola County, Texas","Local Government","Information","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.27,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"48365","3","1025","73","0","2010","A","","Panola County, Texas","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",5,1040,32757775,41513,873,606,31513,"",1.20,1.74,1.54,0.08,0.37,0.88,0.88,"",0,0.0,139,15.4,2280688,7.5,-697,-1.7,662,313.7,-45,-6.9,-2325,-6.9
