"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48419","0","10","70","0","2010","A","","Shelby County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",554,8253,257981082,79178692,1849332,601,31260,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,2.4,218,2.7,16833670,7.0,6631402,9.1,986663,114.4,24,4.2,1246,4.2
"48419","1","10","71","0","2010","A","","Shelby County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,84,4042670,0,0,925,48079,"",2.42,0.44,0.45,0.00,0.00,1.04,1.04,"",0,0.0,2,2.4,200842,5.2,0,0.0,0,0.0,22,2.4,1132,2.4
"48419","1","102","72","0","2010","A","","Shelby County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,84,4042670,0,0,925,48079,"",2.43,0.44,0.46,0.00,0.00,1.04,1.04,"",0,0.0,2,2.4,200842,5.2,0,0.0,0,0.0,22,2.4,1132,2.4
"48419","1","1021","73","0","2010","A","","Shelby County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,46,2034266,0,0,850,44223,"",2.58,0.97,1.16,0.00,0.00,1.19,1.19,"",0,0.0,-1,-2.1,44557,2.2,0,0.0,0,0.0,42,5.2,2187,5.2
"48419","1","1028","73","0","2010","A","","Shelby County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,38,2008404,0,0,1014,52737,"",2.74,0.35,0.37,0.00,0.00,1.05,1.05,"",0,0.0,3,8.6,156285,8.4,0,0.0,0,0.0,-18,-1.7,-948,-1.8
"48419","1","48-49","74","0","2010","A","","Shelby County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,46,2034266,0,0,850,44223,"",2.65,1.06,1.24,0.00,0.00,1.16,1.16,"",0,0.0,-1,-2.1,44557,2.2,0,0.0,0,0.0,42,5.2,2187,5.2
"48419","1","491","75","0","2010","A","","Shelby County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,46,2034266,0,0,850,44223,"",2.67,1.09,1.29,0.00,0.00,1.18,1.18,"",0,0.0,-1,-2.1,44557,2.2,0,0.0,0,0.0,42,5.2,2187,5.2
"48419","1","4911","76","0","2010","A","","Shelby County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,46,2034266,0,0,850,44223,"",2.67,1.09,1.29,0.00,0.00,1.18,1.18,"",0,0.0,-1,-2.1,44557,2.2,0,0.0,0,0.0,42,5.2,2187,5.2
"48419","1","49111","77","0","2010","A","","Shelby County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,46,2034266,0,0,850,44223,"",2.67,1.09,1.29,0.00,0.00,1.18,1.18,"",0,0.0,-1,-2.1,44557,2.2,0,0.0,0,0.0,42,5.2,2187,5.2
"48419","1","491110","78","0","2010","A","","Shelby County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,46,2034266,0,0,850,44223,"",2.67,1.09,1.29,0.00,0.00,1.18,1.18,"",0,0.0,-1,-2.1,44557,2.2,0,0.0,0,0.0,42,5.2,2187,5.2
"48419","1","92","74","0","2010","A","","Shelby County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,38,2008404,0,0,1014,52737,"",2.74,0.35,0.37,0.00,0.00,1.05,1.05,"",0,0.0,3,8.6,156285,8.4,0,0.0,0,0.0,-18,-1.7,-948,-1.8
"48419","1","924","75","0","2010","A","","Shelby County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,129026,0,0,692,36007,"",4.94,0.55,0.37,0.00,0.00,0.75,0.75,"",0,0.0,0,0.0,2442,1.9,0,0.0,0,0.0,70,11.3,3688,11.4
"48419","1","9241","76","0","2010","A","","Shelby County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,129026,0,0,692,36007,"",4.94,0.55,0.37,0.00,0.00,0.75,0.75,"",0,0.0,0,0.0,2442,1.9,0,0.0,0,0.0,70,11.3,3688,11.4
"48419","1","92412","77","0","2010","A","","Shelby County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,129026,0,0,692,36007,"",5.11,0.65,0.48,0.00,0.00,0.83,0.83,"",0,0.0,0,0.0,2442,1.9,0,0.0,0,0.0,70,11.3,3688,11.4
