"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48499","0","10","70","0","2010","A","","Wood County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",837,9109,278270809,65034313,1364936,587,30549,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-1.4,-257,-2.7,2227259,0.8,-379760,-0.6,764573,127.4,20,3.5,1076,3.7
"48499","1","10","71","0","2010","A","","Wood County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,100,4378074,0,0,845,43927,"",1.92,0.47,0.46,0.00,0.00,0.97,0.97,"",0,0.0,4,4.2,63955,1.5,0,0.0,0,0.0,-23,-2.6,-1208,-2.7
"48499","1","102","72","0","2010","A","","Wood County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,100,4378074,0,0,845,43927,"",1.93,0.48,0.46,0.00,0.00,0.97,0.97,"",0,0.0,4,4.2,63955,1.5,0,0.0,0,0.0,-23,-2.6,-1208,-2.7
"48499","1","1021","73","0","2010","A","","Wood County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",7,83,3928130,0,0,911,47374,"",2.39,1.58,2.07,0.00,0.00,1.31,1.31,"",0,0.0,-5,-5.7,-90772,-2.3,0,0.0,0,0.0,31,3.5,1618,3.5
"48499","1","1028","73","0","2010","A","","Wood County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,17,449944,0,0,517,26862,"",1.82,0.14,0.08,0.00,0.00,0.55,0.54,"",0,0.0,9,112.5,154727,52.4,0,0.0,0,0.0,-216,-29.5,-11231,-29.5
"48499","1","48-49","74","0","2010","A","","Wood County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,83,3928130,0,0,911,47374,"",2.46,1.74,2.21,0.00,0.00,1.28,1.27,"",0,0.0,-5,-5.7,-90772,-2.3,0,0.0,0,0.0,31,3.5,1618,3.5
"48499","1","491","75","0","2010","A","","Wood County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,83,3928130,0,0,911,47374,"",2.48,1.77,2.30,0.00,0.00,1.30,1.30,"",0,0.0,-5,-5.7,-90772,-2.3,0,0.0,0,0.0,31,3.5,1618,3.5
"48499","1","4911","76","0","2010","A","","Wood County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,83,3928130,0,0,911,47374,"",2.48,1.77,2.30,0.00,0.00,1.30,1.30,"",0,0.0,-5,-5.7,-90772,-2.3,0,0.0,0,0.0,31,3.5,1618,3.5
"48499","1","49111","77","0","2010","A","","Wood County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",7,83,3928130,0,0,911,47374,"",2.48,1.77,2.30,0.00,0.00,1.30,1.30,"",0,0.0,-5,-5.7,-90772,-2.3,0,0.0,0,0.0,31,3.5,1618,3.5
"48499","1","491110","78","0","2010","A","","Wood County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",7,83,3928130,0,0,911,47374,"",2.48,1.77,2.30,0.00,0.00,1.30,1.30,"",0,0.0,-5,-5.7,-90772,-2.3,0,0.0,0,0.0,31,3.5,1618,3.5
