"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51065","0","10","70","0","2010","A","","Fluvanna County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",492,4079,134899809,28600441,452910,636,33073,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-4,-0.8,113,2.8,5298664,4.1,2203670,8.3,280921,163.3,8,1.3,392,1.2
"51065","1","10","71","0","2010","A","","Fluvanna County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,40,1656691,0,0,805,41853,"",1.64,0.42,0.36,0.00,0.00,0.85,0.85,"",-1,-14.3,4,11.1,-10452,-0.6,0,0.0,0,0.0,-84,-9.4,-4350,-9.4
"51065","1","102","72","0","2010","A","","Fluvanna County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,40,1656691,0,0,805,41853,"",1.64,0.43,0.36,0.00,0.00,0.86,0.86,"",-1,-14.3,4,11.1,-10452,-0.6,0,0.0,0,0.0,-84,-9.4,-4350,-9.4
"51065","1","1021","73","0","2010","A","","Fluvanna County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,30,1508121,0,0,954,49582,"",2.90,1.28,1.64,0.00,0.00,1.27,1.27,"",0,0.0,-3,-9.1,-78969,-5.0,0,0.0,0,0.0,20,2.1,998,2.1
"51065","1","1028","73","0","2010","A","","Fluvanna County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,9,148570,0,0,312,16208,"",0.62,0.17,0.05,0.00,0.00,0.30,0.30,"",-1,-50.0,6,200.0,68517,85.6,0,0.0,0,0.0,-139,-30.8,-7222,-30.8
"51065","1","48-49","74","0","2010","A","","Fluvanna County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,30,1508121,0,0,954,49582,"",2.99,1.40,1.75,0.00,0.00,1.23,1.23,"",0,0.0,-3,-9.1,-78969,-5.0,0,0.0,0,0.0,20,2.1,998,2.1
"51065","1","491","75","0","2010","A","","Fluvanna County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,30,1508121,0,0,954,49582,"",3.01,1.43,1.82,0.00,0.00,1.26,1.26,"",0,0.0,-3,-9.1,-78969,-5.0,0,0.0,0,0.0,20,2.1,998,2.1
"51065","1","4911","76","0","2010","A","","Fluvanna County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,30,1508121,0,0,954,49582,"",3.01,1.43,1.82,0.00,0.00,1.26,1.26,"",0,0.0,-3,-9.1,-78969,-5.0,0,0.0,0,0.0,20,2.1,998,2.1
"51065","1","49111","77","0","2010","A","","Fluvanna County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,30,1508121,0,0,954,49582,"",3.01,1.43,1.82,0.00,0.00,1.26,1.26,"",0,0.0,-3,-9.1,-78969,-5.0,0,0.0,0,0.0,20,2.1,998,2.1
"51065","1","491110","78","0","2010","A","","Fluvanna County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,30,1508121,0,0,954,49582,"",3.01,1.43,1.82,0.00,0.00,1.26,1.26,"",0,0.0,-3,-9.1,-78969,-5.0,0,0.0,0,0.0,20,2.1,998,2.1
"51065","1","92","74","0","2010","A","","Fluvanna County, Virginia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,9,148570,0,0,312,16208,"",0.62,0.17,0.05,0.00,0.00,0.30,0.30,"",-1,-50.0,6,200.0,68517,85.6,0,0.0,0,0.0,-139,-30.8,-7222,-30.8
"51065","1","926","75","0","2010","A","","Fluvanna County, Virginia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,148570,0,0,312,16208,"",1.60,0.76,0.29,0.00,0.00,0.38,0.38,"",-1,-50.0,6,200.0,68517,85.6,0,0.0,0,0.0,-139,-30.8,-7222,-30.8
"51065","1","9261","76","0","2010","A","","Fluvanna County, Virginia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,148570,0,0,312,16208,"",1.60,0.76,0.29,0.00,0.00,0.38,0.38,"",-1,-50.0,6,200.0,68517,85.6,0,0.0,0,0.0,-139,-30.8,-7222,-30.8
"51065","1","92611","77","0","2010","A","","Fluvanna County, Virginia","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,148570,0,0,312,16208,"",3.56,1.64,1.05,0.00,0.00,0.63,0.63,"",0,0.0,6,200.0,68517,85.6,0,0.0,0,0.0,-139,-30.8,-7222,-30.8
"51065","1","926110","78","0","2010","A","","Fluvanna County, Virginia","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,148570,0,0,312,16208,"",3.56,1.64,1.05,0.00,0.00,0.63,0.63,"",0,0.0,6,200.0,68517,85.6,0,0.0,0,0.0,-139,-30.8,-7222,-30.8
"51065","2","10","71","0","2010","A","N","Fluvanna County, Virginia","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,0,0,0,0,0,0,"N",3.00,0,0,0,0,0,0,"N",-1,-8.3,0,0,0,0,0,0,0,0,0,0,0,0
"51065","2","102","72","0","2010","A","N","Fluvanna County, Virginia","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,0,0,0,0,0,0,"N",3.09,0,0,0,0,0,0,"N",-1,-8.3,0,0,0,0,0,0,0,0,0,0,0,0
"51065","2","1025","73","0","2010","A","N","Fluvanna County, Virginia","State Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",2.71,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51065","2","1028","73","0","2010","A","N","Fluvanna County, Virginia","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,0,0,0,0,0,0,"N",3.41,0,0,0,0,0,0,"N",-1,-10.0,0,0,0,0,0,0,0,0,0,0,0,0
"51065","2","61","74","0","2010","A","N","Fluvanna County, Virginia","State Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",4.84,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51065","2","611","75","0","2010","A","N","Fluvanna County, Virginia","State Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"N",4.84,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51065","2","6113","76","0","2010","A","N","Fluvanna County, Virginia","State Government","Colleges and universities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.27,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51065","2","61131","77","0","2010","A","N","Fluvanna County, Virginia","State Government","Colleges and universities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.27,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51065","2","611310","78","0","2010","A","N","Fluvanna County, Virginia","State Government","Colleges and universities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",3.27,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51065","2","6116","76","0","2010","A","N","Fluvanna County, Virginia","State Government","Other schools and instruction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",126.94,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"51065","2","61169","77","0","2010","A","N","Fluvanna County, Virginia","State Government","All other schools and instruction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"N",131.50,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
