"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51175","0","10","70","0","2010","A","","Southampton County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",295,3762,115703112,23839096,517207,591,30757,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,2.1,-79,-2.1,1309238,1.1,-319905,-1.3,238274,85.4,18,3.1,975,3.3
"51175","1","10","71","0","2010","A","","Southampton County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,62,2531180,0,0,791,41157,"",5.92,0.71,0.63,0.00,0.00,0.90,0.90,"",0,0.0,5,8.8,157014,6.6,0,0.0,0,0.0,-8,-1.0,-374,-0.9
"51175","1","102","72","0","2010","A","","Southampton County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,62,2531180,0,0,791,41157,"",5.93,0.72,0.64,0.00,0.00,0.91,0.91,"",0,0.0,5,8.8,157014,6.6,0,0.0,0,0.0,-8,-1.0,-374,-0.9
"51175","1","1021","73","0","2010","A","","Southampton County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,32,1236967,0,0,736,38257,"",7.75,1.48,1.57,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,50650,4.3,0,0.0,0,0.0,12,1.7,596,1.6
"51175","1","1023","73","0","2010","A","","Southampton County, Virginia","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,427667,0,0,1175,61095,"",34.52,14.77,14.75,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,29333,7.4,0,0.0,0,0.0,81,7.4,4190,7.4
"51175","1","1028","73","0","2010","A","","Southampton County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,22,866546,0,0,752,39092,"",4.12,0.44,0.35,0.00,0.00,0.79,0.79,"",0,0.0,3,15.8,77031,9.8,0,0.0,0,0.0,-61,-7.5,-3203,-7.6
"51175","1","48-49","74","0","2010","A","","Southampton County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,32,1236967,0,0,736,38257,"",7.97,1.62,1.68,0.00,0.00,1.02,1.02,"",0,0.0,0,0.0,50650,4.3,0,0.0,0,0.0,12,1.7,596,1.6
"51175","1","491","75","0","2010","A","","Southampton County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,32,1236967,0,0,736,38257,"",8.04,1.66,1.74,0.00,0.00,1.04,1.04,"",0,0.0,0,0.0,50650,4.3,0,0.0,0,0.0,12,1.7,596,1.6
"51175","1","4911","76","0","2010","A","","Southampton County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,32,1236967,0,0,736,38257,"",8.04,1.66,1.74,0.00,0.00,1.04,1.04,"",0,0.0,0,0.0,50650,4.3,0,0.0,0,0.0,12,1.7,596,1.6
"51175","1","49111","77","0","2010","A","","Southampton County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,32,1236967,0,0,736,38257,"",8.04,1.66,1.74,0.00,0.00,1.04,1.04,"",0,0.0,0,0.0,50650,4.3,0,0.0,0,0.0,12,1.7,596,1.6
