"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51177","0","10","70","0","2010","A","","Spotsylvania County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2440,30072,1017011116,215669249,4265624,650,33819,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",23,1.0,1321,4.6,31801696,3.2,7341791,3.5,1919899,81.8,-9,-1.4,-448,-1.3
"51177","1","10","71","0","2010","A","","Spotsylvania County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,65,2854851,0,0,849,44147,"",0.39,0.09,0.08,0.00,0.00,0.88,0.88,"",0,0.0,11,20.4,357988,14.3,0,0.0,0,0.0,-46,-5.1,-2378,-5.1
"51177","1","102","72","0","2010","A","","Spotsylvania County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,65,2854851,0,0,849,44147,"",0.39,0.09,0.08,0.00,0.00,0.88,0.88,"",0,0.0,11,20.4,357988,14.3,0,0.0,0,0.0,-46,-5.1,-2378,-5.1
"51177","1","1021","73","0","2010","A","","Spotsylvania County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,46,2286931,0,0,954,49626,"",0.35,0.27,0.33,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,127086,5.9,0,0.0,0,0.0,48,5.3,2502,5.3
"51177","1","1028","73","0","2010","A","","Spotsylvania County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,19,567920,0,0,588,30561,"",0.50,0.05,0.03,0.00,0.00,0.56,0.56,"",0,0.0,11,137.5,230902,68.5,0,0.0,0,0.0,-239,-28.9,-12463,-29.0
"51177","1","48-49","74","0","2010","A","","Spotsylvania County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,46,2286931,0,0,954,49626,"",0.36,0.29,0.35,0.00,0.00,1.21,1.21,"",0,0.0,0,0.0,127086,5.9,0,0.0,0,0.0,48,5.3,2502,5.3
"51177","1","491","75","0","2010","A","","Spotsylvania County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,46,2286931,0,0,954,49626,"",0.36,0.30,0.37,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,127086,5.9,0,0.0,0,0.0,48,5.3,2502,5.3
"51177","1","4911","76","0","2010","A","","Spotsylvania County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,46,2286931,0,0,954,49626,"",0.36,0.30,0.37,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,127086,5.9,0,0.0,0,0.0,48,5.3,2502,5.3
"51177","1","49111","77","0","2010","A","","Spotsylvania County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,46,2286931,0,0,954,49626,"",0.36,0.30,0.37,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,127086,5.9,0,0.0,0,0.0,48,5.3,2502,5.3
"51177","1","491110","78","0","2010","A","","Spotsylvania County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,46,2286931,0,0,954,49626,"",0.36,0.30,0.37,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,127086,5.9,0,0.0,0,0.0,48,5.3,2502,5.3
"51177","1","92","74","0","2010","A","","Spotsylvania County, Virginia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,19,567920,0,0,588,30561,"",0.50,0.05,0.03,0.00,0.00,0.56,0.56,"",0,0.0,11,137.5,230902,68.5,0,0.0,0,0.0,-239,-28.9,-12463,-29.0
"51177","1","921","75","0","2010","A","","Spotsylvania County, Virginia","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,86892,0,0,1671,86892,"",1.47,0.02,0.04,0.00,0.00,1.63,1.63,"",0,0.0,-1,-50.0,-47079,-35.1,0,0.0,0,0.0,327,24.3,16994,24.3
"51177","1","9211","76","0","2010","A","","Spotsylvania County, Virginia","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,86892,0,0,1671,86892,"",1.47,0.02,0.04,0.00,0.00,1.63,1.63,"",0,0.0,-1,-50.0,-47079,-35.1,0,0.0,0,0.0,327,24.3,16994,24.3
