"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"55037","0","10","70","0","2010","A","","Florence County, Wisconsin","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",175,967,21054244,7007082,315235,419,21775,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.6,-36,-3.6,150120,0.7,-249640,-3.4,23950,8.2,18,4.5,930,4.5
"55037","1","10","71","0","2010","A","","Florence County, Wisconsin","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,25,1114179,0,0,849,44126,"",4.60,1.11,1.53,0.00,0.00,1.37,1.37,"",0,0.0,5,25.0,254832,29.7,0,0.0,0,0.0,16,1.9,798,1.8
"55037","1","102","72","0","2010","A","","Florence County, Wisconsin","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,25,1114179,0,0,849,44126,"",4.61,1.13,1.56,0.00,0.00,1.37,1.37,"",0,0.0,5,25.0,254832,29.7,0,0.0,0,0.0,16,1.9,798,1.8
"55037","1","1021","73","0","2010","A","","Florence County, Wisconsin","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,6,241196,0,0,752,39113,"",4.90,1.08,1.68,0.00,0.00,1.52,1.52,"",0,0.0,-1,-14.3,7195,3.1,0,0.0,0,0.0,68,9.9,3569,10.0
"55037","1","1028","73","0","2010","A","","Florence County, Wisconsin","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,19,872983,0,0,880,45746,"",5.21,1.49,1.95,0.00,0.00,1.30,1.30,"",0,0.0,6,46.2,247637,39.6,0,0.0,0,0.0,-28,-3.1,-1450,-3.1
"55037","1","48-49","74","0","2010","A","","Florence County, Wisconsin","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,6,241196,0,0,752,39113,"",5.04,1.18,1.80,0.00,0.00,1.47,1.48,"",0,0.0,-1,-14.3,7195,3.1,0,0.0,0,0.0,68,9.9,3569,10.0
"55037","1","491","75","0","2010","A","","Florence County, Wisconsin","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,6,241196,0,0,752,39113,"",5.08,1.21,1.87,0.00,0.00,1.50,1.50,"",0,0.0,-1,-14.3,7195,3.1,0,0.0,0,0.0,68,9.9,3569,10.0
"55037","1","4911","76","0","2010","A","","Florence County, Wisconsin","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,6,241196,0,0,752,39113,"",5.08,1.21,1.87,0.00,0.00,1.50,1.50,"",0,0.0,-1,-14.3,7195,3.1,0,0.0,0,0.0,68,9.9,3569,10.0
"55037","1","49111","77","0","2010","A","","Florence County, Wisconsin","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,6,241196,0,0,752,39113,"",5.08,1.21,1.87,0.00,0.00,1.50,1.50,"",0,0.0,-1,-14.3,7195,3.1,0,0.0,0,0.0,68,9.9,3569,10.0
"55037","1","491110","78","0","2010","A","","Florence County, Wisconsin","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,6,241196,0,0,752,39113,"",5.08,1.21,1.87,0.00,0.00,1.50,1.50,"",0,0.0,-1,-14.3,7195,3.1,0,0.0,0,0.0,68,9.9,3569,10.0
"55037","1","92","74","0","2010","A","","Florence County, Wisconsin","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,19,872983,0,0,880,45746,"",5.21,1.49,1.95,0.00,0.00,1.30,1.30,"",0,0.0,6,46.2,247637,39.6,0,0.0,0,0.0,-28,-3.1,-1450,-3.1
"55037","1","924","75","0","2010","A","","Florence County, Wisconsin","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,14,775003,0,0,1034,53757,"",7.83,16.33,27.09,0.00,0.00,1.61,1.61,"",0,0.0,2,16.7,173288,28.8,0,0.0,0,0.0,76,7.9,3960,8.0
"55037","1","9241","76","0","2010","A","","Florence County, Wisconsin","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,14,775003,0,0,1034,53757,"",7.83,16.33,27.09,0.00,0.00,1.61,1.61,"",0,0.0,2,16.7,173288,28.8,0,0.0,0,0.0,76,7.9,3960,8.0
"55037","1","92412","77","0","2010","A","","Florence County, Wisconsin","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,14,775003,0,0,1034,53757,"",8.09,19.47,35.58,0.00,0.00,1.77,1.77,"",0,0.0,2,16.7,173288,28.8,0,0.0,0,0.0,76,7.9,3960,8.0
"55037","1","924120","78","0","2010","A","","Florence County, Wisconsin","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,14,775003,0,0,1034,53757,"",8.09,19.47,35.58,0.00,0.00,1.77,1.77,"",0,0.0,2,16.7,173288,28.8,0,0.0,0,0.0,76,7.9,3960,8.0
"55037","1","926","75","0","2010","A","","Florence County, Wisconsin","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,5,97980,0,0,404,20996,"",9.02,1.79,1.25,0.00,0.00,0.75,0.75,"",0,0.0,4,400.0,74349,314.6,0,0.0,0,0.0,14,3.6,741,3.7
"55037","1","9261","76","0","2010","A","","Florence County, Wisconsin","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,5,97980,0,0,404,20996,"",9.02,1.79,1.25,0.00,0.00,0.75,0.75,"",0,0.0,4,400.0,74349,314.6,0,0.0,0,0.0,14,3.6,741,3.7
"55037","1","92611","77","0","2010","A","","Florence County, Wisconsin","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,78770,0,0,371,19291,"",10.00,3.08,3.58,0.00,0.00,1.14,1.14,"",0,0.0,4,100.0,74258,1645.8,0,0.0,0,0.0,24,6.9,1243,6.9
"55037","1","926110","78","0","2010","A","","Florence County, Wisconsin","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,78770,0,0,371,19291,"",10.00,3.08,3.58,0.00,0.00,1.14,1.14,"",0,0.0,4,100.0,74258,1645.8,0,0.0,0,0.0,24,6.9,1243,6.9
"55037","1","92614","77","0","2010","A","","Florence County, Wisconsin","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,19210,0,0,633,32931,"",14.52,2.65,1.56,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,91,0.5,0,0.0,0,0.0,232,57.9,12074,57.9
"55037","1","926140","78","0","2010","A","","Florence County, Wisconsin","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,19210,0,0,633,32931,"",14.52,2.65,1.56,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,91,0.5,0,0.0,0,0.0,232,57.9,12074,57.9
