"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"72013","0","10","70","0","2010","A","","Arecibo Municipio, Puerto Rico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1180,23092,565191384,101027399,3210024,471,24476,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-40,-3.3,408,1.8,3386476,0.6,-4152238,-3.9,-131073,-3.9,-5,-1.1,-290,-1.2
"72013","1","10","71","0","2010","A","","Arecibo Municipio, Puerto Rico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,580,17025342,0,0,564,29333,"",1.25,1.08,0.87,0.00,0.00,0.81,0.81,"",0,0.0,361,164.8,8237343,93.7,0,0.0,0,0.0,-209,-27.0,-10856,-27.0
"72013","1","102","72","0","2010","A","","Arecibo Municipio, Puerto Rico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,580,17025342,0,0,564,29333,"",1.25,1.09,0.89,0.00,0.00,0.81,0.81,"",0,0.0,361,164.8,8237343,93.7,0,0.0,0,0.0,-209,-27.0,-10856,-27.0
"72013","1","1021","73","0","2010","A","","Arecibo Municipio, Puerto Rico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,55,3403217,0,0,1192,61971,"",0.97,0.41,0.88,0.00,0.00,2.14,2.14,"",0,0.0,-3,-5.2,-98303,-2.8,0,0.0,0,0.0,31,2.7,1600,2.7
"72013","1","1025","73","0","2010","A","","Arecibo Municipio, Puerto Rico","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,82546,0,0,1732,90050,"",6.08,0.02,0.04,0.00,0.00,2.49,2.49,"",0,0.0,1,100.0,45080,120.3,0,0.0,0,0.0,3,0.2,132,0.1
"72013","1","1028","73","0","2010","A","","Arecibo Municipio, Puerto Rico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,525,13539579,0,0,496,25810,"",1.55,1.72,1.13,0.00,0.00,0.65,0.65,"",0,0.0,365,228.1,8290566,157.9,0,0.0,0,0.0,-134,-21.3,-6945,-21.2
"72013","1","48-49","74","0","2010","A","","Arecibo Municipio, Puerto Rico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,55,3403217,0,0,1192,61971,"",1.00,0.45,0.94,0.00,0.00,2.08,2.08,"",0,0.0,-3,-5.2,-98303,-2.8,0,0.0,0,0.0,31,2.7,1600,2.7
"72013","1","491","75","0","2010","A","","Arecibo Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,55,3403217,0,0,1192,61971,"",1.00,0.46,0.98,0.00,0.00,2.12,2.12,"",0,0.0,-3,-5.2,-98303,-2.8,0,0.0,0,0.0,31,2.7,1600,2.7
"72013","1","4911","76","0","2010","A","","Arecibo Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,55,3403217,0,0,1192,61971,"",1.00,0.46,0.98,0.00,0.00,2.12,2.12,"",0,0.0,-3,-5.2,-98303,-2.8,0,0.0,0,0.0,31,2.7,1600,2.7
"72013","1","49111","77","0","2010","A","","Arecibo Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,55,3403217,0,0,1192,61971,"",1.00,0.46,0.98,0.00,0.00,2.12,2.12,"",0,0.0,-3,-5.2,-98303,-2.8,0,0.0,0,0.0,31,2.7,1600,2.7
"72013","1","491110","78","0","2010","A","","Arecibo Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,55,3403217,0,0,1192,61971,"",1.00,0.46,0.98,0.00,0.00,2.12,2.12,"",0,0.0,-3,-5.2,-98303,-2.8,0,0.0,0,0.0,31,2.7,1600,2.7
"72013","1","61","74","0","2010","A","","Arecibo Municipio, Puerto Rico","Federal Government","Educational services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,82546,0,0,1732,90050,"",66.85,0.51,1.21,0.00,0.00,2.60,2.60,"",0,0.0,1,100.0,45080,120.3,0,0.0,0,0.0,3,0.2,132,0.1
"72013","1","611","75","0","2010","A","","Arecibo Municipio, Puerto Rico","Federal Government","Educational services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,82546,0,0,1732,90050,"",66.85,0.51,1.21,0.00,0.00,2.60,2.60,"",0,0.0,1,100.0,45080,120.3,0,0.0,0,0.0,3,0.2,132,0.1
"72013","1","6111","76","0","2010","A","","Arecibo Municipio, Puerto Rico","Federal Government","Elementary and secondary schools","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,82546,0,0,1732,90050,"",317.55,1.11,2.99,0.00,0.00,2.93,2.93,"",0,0.0,1,100.0,45080,120.3,0,0.0,0,0.0,3,0.2,132,0.1
"72013","1","61111","77","0","2010","A","","Arecibo Municipio, Puerto Rico","Federal Government","Elementary and secondary schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,82546,0,0,1732,90050,"",317.55,1.11,2.99,0.00,0.00,2.93,2.93,"",0,0.0,1,100.0,45080,120.3,0,0.0,0,0.0,3,0.2,132,0.1
