"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"72049","0","10","70","0","2010","A","","Culebra Municipio, Puerto Rico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",42,356,6618435,671911,19758,358,18617,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,2.4,-32,-8.2,-870118,-11.6,48338,7.8,923,4.9,-14,-3.8,-704,-3.6
"72049","1","10","71","0","2010","A","","Culebra Municipio, Puerto Rico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,3,204462,0,0,1242,64567,"",6.39,0.36,0.89,0.00,0.00,2.34,2.34,"",0,0.0,0,0.0,-35049,-14.6,0,0.0,0,0.0,-175,-12.4,-9129,-12.4
"72049","1","102","72","0","2010","A","","Culebra Municipio, Puerto Rico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,3,204462,0,0,1242,64567,"",6.40,0.37,0.91,0.00,0.00,2.35,2.35,"",0,0.0,0,0.0,-35049,-14.6,0,0.0,0,0.0,-175,-12.4,-9129,-12.4
"72049","1","1021","73","0","2010","A","","Culebra Municipio, Puerto Rico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,122014,0,0,1173,61007,"",6.80,0.98,2.70,0.00,0.00,2.77,2.77,"",0,0.0,0,0.0,3840,3.2,0,0.0,0,0.0,37,3.3,1920,3.2
"72049","1","1028","73","0","2010","A","","Culebra Municipio, Puerto Rico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,1,82448,0,0,1359,70670,"",7.24,0.21,0.59,0.00,0.00,2.35,2.35,"",0,0.0,0,0.0,-38889,-32.1,0,0.0,0,0.0,-508,-27.2,-26400,-27.2
"72049","1","48-49","74","0","2010","A","","Culebra Municipio, Puerto Rico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,122014,0,0,1173,61007,"",7.00,1.07,2.89,0.00,0.00,2.69,2.69,"",0,0.0,0,0.0,3840,3.2,0,0.0,0,0.0,37,3.3,1920,3.2
"72049","1","491","75","0","2010","A","","Culebra Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,122014,0,0,1173,61007,"",7.06,1.09,3.01,0.00,0.00,2.74,2.74,"",0,0.0,0,0.0,3840,3.2,0,0.0,0,0.0,37,3.3,1920,3.2
"72049","1","4911","76","0","2010","A","","Culebra Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,122014,0,0,1173,61007,"",7.06,1.09,3.01,0.00,0.00,2.74,2.74,"",0,0.0,0,0.0,3840,3.2,0,0.0,0,0.0,37,3.3,1920,3.2
"72049","1","49111","77","0","2010","A","","Culebra Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,122014,0,0,1173,61007,"",7.06,1.09,3.01,0.00,0.00,2.74,2.74,"",0,0.0,0,0.0,3840,3.2,0,0.0,0,0.0,37,3.3,1920,3.2
"72049","1","491110","78","0","2010","A","","Culebra Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,122014,0,0,1173,61007,"",7.06,1.09,3.01,0.00,0.00,2.74,2.74,"",0,0.0,0,0.0,3840,3.2,0,0.0,0,0.0,37,3.3,1920,3.2
"72049","1","92","74","0","2010","A","","Culebra Municipio, Puerto Rico","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,82448,0,0,1359,70670,"",7.24,0.21,0.59,0.00,0.00,2.35,2.35,"",0,0.0,0,0.0,-38889,-32.1,0,0.0,0,0.0,-508,-27.2,-26400,-27.2
"72049","1","922","75","0","2010","A","","Culebra Municipio, Puerto Rico","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,82448,0,0,1359,70670,"",55.96,1.42,3.26,0.00,0.00,1.97,1.97,"",0,0.0,0,0.0,-38889,-32.1,0,0.0,0,0.0,-508,-27.2,-26400,-27.2
"72049","1","9221","76","0","2010","A","","Culebra Municipio, Puerto Rico","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,82448,0,0,1359,70670,"",55.96,1.42,3.26,0.00,0.00,1.97,1.97,"",0,0.0,0,0.0,-38889,-32.1,0,0.0,0,0.0,-508,-27.2,-26400,-27.2
"72049","1","92212","77","0","2010","A","","Culebra Municipio, Puerto Rico","Federal Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,82448,0,0,1359,70670,"",106.95,2.59,5.67,0.00,0.00,1.87,1.87,"",0,0.0,0,0.0,-38889,-32.1,0,0.0,0,0.0,-508,-27.2,-26400,-27.2
"72049","1","922120","78","0","2010","A","","Culebra Municipio, Puerto Rico","Federal Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,82448,0,0,1359,70670,"",106.95,2.59,5.67,0.00,0.00,1.87,1.87,"",0,0.0,0,0.0,-38889,-32.1,0,0.0,0,0.0,-508,-27.2,-26400,-27.2
"72049","2","10","71","0","2010","A","N","Culebra Municipio, Puerto Rico","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,0,0,0,0,0,0,"N",41.60,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"72049","2","102","72","0","2010","A","N","Culebra Municipio, Puerto Rico","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,0,0,0,0,0,0,"N",42.78,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"72049","2","1021","73","0","2010","A","","Culebra Municipio, Puerto Rico","State Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,12,405251,0,0,663,34489,"",662.23,65.22,106.23,0.00,0.00,1.66,1.66,"",0,0.0,-1,-7.7,6306,1.6,0,0.0,0,0.0,84,14.5,4380,14.5
