"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"72153","0","10","70","0","2010","A","","Yauco Municipio, Puerto Rico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",484,6113,120081714,28043865,886097,378,19642,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-36,-6.9,-895,-12.8,-10326948,-7.9,-4779733,-14.6,-174571,-16.5,20,5.6,1033,5.6
"72153","1","10","71","0","2010","A","","Yauco Municipio, Puerto Rico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,24,1523189,0,0,1225,63687,"",0.83,0.17,0.37,0.00,0.00,2.19,2.19,"",-1,-25.0,1,4.3,143598,10.4,0,0.0,0,0.0,59,5.1,3046,5.0
"72153","1","102","72","0","2010","A","","Yauco Municipio, Puerto Rico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,24,1523189,0,0,1225,63687,"",0.83,0.17,0.37,0.00,0.00,2.19,2.19,"",-1,-25.0,1,4.3,143598,10.4,0,0.0,0,0.0,59,5.1,3046,5.0
"72153","1","1021","73","0","2010","A","","Yauco Municipio, Puerto Rico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,20,1255704,0,0,1218,63313,"",0.59,0.57,1.53,0.00,0.00,2.72,2.72,"",0,0.0,1,5.3,96040,8.3,0,0.0,0,0.0,44,3.7,2278,3.7
"72153","1","1028","73","0","2010","A","","Yauco Municipio, Puerto Rico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,4,267485,0,0,1260,65507,"",1.26,0.05,0.10,0.00,0.00,2.07,2.07,"",-1,-33.3,0,0.0,47558,21.6,0,0.0,0,0.0,132,11.7,6860,11.7
"72153","1","48-49","74","0","2010","A","","Yauco Municipio, Puerto Rico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,20,1255704,0,0,1218,63313,"",0.61,0.62,1.64,0.00,0.00,2.65,2.65,"",0,0.0,1,5.3,96040,8.3,0,0.0,0,0.0,44,3.7,2278,3.7
"72153","1","491","75","0","2010","A","","Yauco Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,20,1255704,0,0,1218,63313,"",0.61,0.64,1.71,0.00,0.00,2.70,2.70,"",0,0.0,1,5.3,96040,8.3,0,0.0,0,0.0,44,3.7,2278,3.7
"72153","1","4911","76","0","2010","A","","Yauco Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,20,1255704,0,0,1218,63313,"",0.61,0.64,1.71,0.00,0.00,2.70,2.70,"",0,0.0,1,5.3,96040,8.3,0,0.0,0,0.0,44,3.7,2278,3.7
"72153","1","49111","77","0","2010","A","","Yauco Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,20,1255704,0,0,1218,63313,"",0.61,0.64,1.71,0.00,0.00,2.70,2.70,"",0,0.0,1,5.3,96040,8.3,0,0.0,0,0.0,44,3.7,2278,3.7
"72153","1","491110","78","0","2010","A","","Yauco Municipio, Puerto Rico","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,20,1255704,0,0,1218,63313,"",0.61,0.64,1.71,0.00,0.00,2.70,2.70,"",0,0.0,1,5.3,96040,8.3,0,0.0,0,0.0,44,3.7,2278,3.7
