"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C2266","0","10","40","0","2010","A","","Fort Collins, CO MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",10029,126653,5168466249,1082266659,22471033,785,40808,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-173,-1.7,217,0.2,79303867,1.6,5659000,0.5,5289153,30.8,11,1.4,557,1.4
"C2266","1","10","41","0","2010","A","","Fort Collins, CO MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",47,2536,188530541,0,0,1430,74342,"",0.63,0.86,1.06,0.00,0.00,1.23,1.23,"",-1,-2.1,26,1.0,8266896,4.6,0,0.0,0,0.0,49,3.5,2510,3.5
"C2266","2","10","41","0","2010","A","","Fort Collins, CO MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",21,7792,367233707,0,0,906,47130,"",0.28,1.71,1.88,0.00,0.00,1.10,1.10,"",0,0.0,-63,-0.8,-1787268,-0.5,0,0.0,0,0.0,3,0.3,152,0.3
"C2266","3","10","41","0","2010","A","","Fort Collins, CO MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",49,13439,536970537,35985132,94239,768,39955,"",0.27,0.97,1.02,2.14,0.74,1.05,1.05,"",0,0.0,-35,-0.3,-3262596,-0.6,346312,1.0,-7776,-7.6,-3,-0.4,-138,-0.3
"C2266","5","10","41","0","2010","A","","Fort Collins, CO MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",9912,102886,4075731464,1046281527,22376794,762,39614,"",1.02,0.98,0.96,0.99,1.00,0.98,0.98,"",-173,-1.7,289,0.3,76086835,1.9,5312688,0.5,5296929,31.0,12,1.6,630,1.6
"C2266","5","101","42","0","2010","A","","Fort Collins, CO MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",1718,18718,1134977333,225793337,7169280,1166,60637,"",1.22,1.01,1.28,1.00,1.15,1.28,1.28,"",-105,-5.8,-1175,-5.9,4017408,0.4,-15644523,-6.5,1288689,21.9,73,6.7,3786,6.7
"C2266","5","1011","43","0","2010","A","","Fort Collins, CO MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",112,921,31535863,10632387,224390,658,34235,"",0.79,0.52,0.41,0.49,0.45,0.79,0.79,"",-1,-0.9,-24,-2.5,-55547,-0.2,-1178468,-10.0,19386,9.5,15,2.3,793,2.4
"C2266","5","1012","43","0","2010","A","","Fort Collins, CO MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",1185,7219,323817040,92991194,3631784,863,44857,"",1.34,1.33,1.38,1.28,1.50,1.04,1.04,"",-100,-7.8,-874,-10.8,-38186835,-10.5,-9474938,-9.2,409357,12.7,3,0.3,125,0.3
"C2266","5","1013","43","0","2010","A","","Fort Collins, CO MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",421,10578,779624430,122169756,3313106,1417,73705,"",1.10,0.93,1.36,0.93,0.99,1.47,1.47,"",-5,-1.2,-278,-2.6,42259790,5.7,-4991117,-3.9,859946,35.1,111,8.5,5783,8.5
"C2266","5","102","42","0","2010","A","","Fort Collins, CO MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",8194,84168,2940754131,820488190,15207514,672,34939,"",0.99,0.97,0.87,0.99,0.95,0.89,0.89,"",-67,-0.8,1465,1.8,72069427,2.5,20957211,2.6,4008240,35.8,5,0.7,253,0.7
"C2266","5","1021","43","0","2010","A","","Fort Collins, CO MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",1934,21688,632258986,221109476,3569113,561,29152,"",0.93,0.90,0.76,0.88,0.78,0.85,0.85,"",-69,-3.4,-199,-0.9,2424998,0.4,-1833258,-0.8,777653,27.9,8,1.4,375,1.3
"C2266","5","1022","43","0","2010","A","","Fort Collins, CO MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",174,2514,127689576,26331943,546436,977,50783,"",1.08,0.94,0.73,0.82,0.74,0.78,0.78,"",-4,-2.2,-164,-6.1,-3381154,-2.6,-2098236,-7.4,131049,31.5,36,3.8,1832,3.7
"C2266","5","1023","43","0","2010","A","","Fort Collins, CO MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",1035,5354,230382192,58357173,1173687,828,43032,"",1.14,0.73,0.49,0.69,0.70,0.67,0.67,"",-36,-3.4,38,0.7,6759221,3.0,65925,0.1,285298,32.1,19,2.3,969,2.3
