"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3002","0","10","40","0","2010","A","","Lawton, OK MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",2394,42687,1464384447,425234970,3023792,660,34305,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",54,2.3,209,0.5,53869654,3.8,8182699,2.0,474833,18.6,21,3.3,1099,3.3
"C3002","1","10","41","0","2010","A","","Lawton, OK MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",60,4714,229076315,0,0,935,48594,"",3.36,4.74,4.53,0.00,0.00,0.96,0.96,"",1,1.7,686,17.0,33954519,17.4,0,0.0,0,0.0,3,0.3,147,0.3
"C3002","2","10","41","0","2010","A","","Lawton, OK MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",19,1398,52728372,391496,3916,725,37713,"",1.07,0.91,0.95,0.16,1.57,1.05,1.05,"",-1,-5.0,-73,-5.0,-169284,-0.3,-76988,-16.4,-769,-16.4,33,4.8,1751,4.9
"C3002","3","10","41","0","2010","A","","Lawton, OK MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",74,8063,288425200,26375992,276364,688,35773,"",1.70,1.72,1.93,4.00,16.21,1.12,1.12,"",-4,-5.1,-176,-2.1,-4531107,-1.5,-159165,-0.6,11912,4.5,4,0.6,214,0.6
"C3002","5","10","41","0","2010","A","","Lawton, OK MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",2241,28512,894154560,398467482,2743512,603,31361,"",0.97,0.80,0.74,0.96,0.91,0.92,0.92,"",58,2.7,-229,-0.8,24615526,2.8,8418852,2.2,463690,20.3,21,3.6,1107,3.7
"C3002","5","101","42","0","2010","A","","Lawton, OK MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",322,5452,277864483,88681260,728088,980,50962,"",0.96,0.87,1.11,1.00,0.86,1.27,1.28,"",30,10.3,202,3.8,22678266,8.9,6586133,8.0,289630,66.1,45,4.8,2354,4.8
"C3002","5","1011","43","0","2010","A","","Lawton, OK MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",21,168,5452190,2054883,28636,623,32421,"",0.62,0.28,0.25,0.24,0.43,0.89,0.89,"",2,10.5,5,3.1,237341,4.6,49667,2.5,9500,49.6,6,1.0,330,1.0
"C3002","5","1012","43","0","2010","A","","Lawton, OK MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",244,1755,63665996,31362573,476010,697,36268,"",1.16,0.96,0.95,1.10,1.46,1.00,1.00,"",25,11.4,97,5.9,6544375,11.5,3417536,12.2,208840,78.2,34,5.1,1811,5.3
"C3002","5","1013","43","0","2010","A","","Lawton, OK MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",57,3529,208746297,55263804,223442,1138,59156,"",0.62,0.92,1.29,1.07,0.50,1.40,1.40,"",3,5.6,99,2.9,15896550,8.2,3118930,6.0,71290,46.9,57,5.3,2925,5.2
"C3002","5","102","42","0","2010","A","","Lawton, OK MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",1919,23060,616290077,309786222,2015424,514,26726,"",0.97,0.79,0.64,0.95,0.93,0.81,0.81,"",27,1.4,-431,-1.8,1937260,0.3,1832719,0.6,174060,9.5,11,2.2,573,2.2
"C3002","5","1021","43","0","2010","A","","Lawton, OK MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",534,6976,183977702,93697915,454567,507,26374,"",1.07,0.85,0.79,0.95,0.74,0.92,0.92,"",6,1.1,-172,-2.4,435703,0.2,-3589226,-3.7,88673,24.2,13,2.6,696,2.7
"C3002","5","1022","43","0","2010","A","","Lawton, OK MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",37,544,19176928,7915582,49368,678,35273,"",0.97,0.60,0.39,0.63,0.50,0.65,0.65,"N",1,2.8,0,0,0,0,0,0,0,0,0,0,0,0
"C3002","5","1023","43","0","2010","A","","Lawton, OK MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",297,2534,74447540,37558782,231000,565,29381,"",1.37,1.03,0.55,1.13,1.02,0.54,0.54,"",-12,-3.9,-97,-3.7,-1080900,-1.4,392804,1.1,24934,12.1,13,2.4,673,2.3
"C3002","5","1024","43","0","2010","A","","Lawton, OK MSA","Private","Professional and business services","MSA, by Supersector -- by ownership sector","All establishment sizes",349,3398,122516990,53642040,477702,693,36057,"",0.85,0.61,0.50,0.69,0.78,0.82,0.82,"",15,4.5,-214,-5.9,-1034216,-0.8,-1418962,-2.6,-33546,-6.6,35,5.3,1848,5.4
"C3002","5","1025","43","0","2010","A","","Lawton, OK MSA","Private","Education and health services","MSA, by Supersector -- by ownership sector","All establishment sizes",301,3850,128549668,52126494,288907,642,33391,"",1.27,0.62,0.64,1.15,1.15,1.04,1.04,"",1,0.3,-168,-4.2,261068,0.2,534476,1.0,-9476,-3.2,28,4.6,1460,4.6
"C3002","5","1026","43","0","2010","A","","Lawton, OK MSA","Private","Leisure and hospitality","MSA, by Supersector -- by ownership sector","All establishment sizes",248,5013,71290334,55527701,457460,273,14220,"",1.25,1.15,1.15,1.27,1.81,1.00,1.00,"",16,6.9,291,6.2,7538442,11.8,6703561,13.7,125921,38.0,13,5.0,720,5.3
"C3002","5","1027","43","0","2010","A","","Lawton, OK MSA","Private","Other services","MSA, by Supersector -- by ownership sector","All establishment sizes",155,745,16330915,9317708,56420,421,21916,"",0.46,0.51,0.52,0.62,0.59,1.01,1.02,"N",1,0.6,0,0,0,0,0,0,0,0,0,0,0,0
"C3002","5","1029","43","0","2010","A","","Lawton, OK MSA","Private","Unclassified","MSA, by Supersector -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
