"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3474","0","10","40","0","2010","A","","Muskegon, MI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3141,56547,2080123746,395096522,21056870,707,36786,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-57,-1.8,-634,-1.1,41402314,2.0,-1488737,-0.4,3133210,17.5,21,3.1,1132,3.2
"C3474","1","10","41","0","2010","A","","Muskegon, MI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,431,21698115,0,0,968,50344,"",0.85,0.33,0.30,0.00,0.00,0.92,0.92,"",1,5.3,66,18.1,1789038,9.0,0,0.0,0,0.0,-81,-7.7,-4226,-7.7
"C3474","2","10","41","0","2010","A","","Muskegon, MI MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",24,1109,61429708,0,0,1065,55396,"",1.03,0.54,0.78,0.00,0.00,1.44,1.44,"",-1,-4.0,-71,-6.0,-4985375,-7.5,0,0.0,0,0.0,-18,-1.7,-912,-1.6
"C3474","3","10","41","0","2010","A","","Muskegon, MI MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",78,6801,281732361,295850,5430,797,41427,"",1.37,1.10,1.33,0.05,0.05,1.21,1.21,"",0,0.0,-198,-2.8,-6000281,-2.1,71429,31.8,1724,46.5,6,0.8,317,0.8
"C3474","5","10","41","0","2010","A","","Muskegon, MI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3020,48206,1715263562,394800672,21051440,684,35582,"",0.99,1.03,1.00,1.02,1.01,0.97,0.97,"",-56,-1.8,-432,-0.9,50598932,3.0,-1560166,-0.4,3131486,17.5,26,4.0,1356,4.0
"C3474","5","101","42","0","2010","A","","Muskegon, MI MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",585,12020,641222930,131763854,10800790,1026,53348,"",1.33,1.45,1.80,1.59,1.84,1.25,1.24,"",-35,-5.6,-12,-0.1,41071106,6.8,-251864,-0.2,2137849,24.7,67,7.0,3469,7.0
"C3474","5","1011","43","0","2010","A","","Muskegon, MI MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",37,606,12842781,6203685,329867,408,21196,"",0.84,0.76,0.41,0.78,0.71,0.54,0.54,"",0,0.0,18,3.1,15489,0.1,-602586,-8.9,17549,5.6,-11,-2.6,-610,-2.8
"C3474","5","1012","43","0","2010","A","","Muskegon, MI MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",277,1401,69909964,19023809,1806049,960,49906,"",1.00,0.58,0.74,0.72,0.80,1.28,1.28,"",-17,-5.8,-128,-8.4,-595174,-0.8,-1382626,-6.8,-46841,-2.5,73,8.2,3804,8.3
"C3474","5","1013","43","0","2010","A","","Muskegon, MI MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",271,10013,558470185,106536360,8664874,1073,55775,"",2.26,1.97,2.43,2.22,2.77,1.23,1.23,"",-18,-6.2,98,1.0,41650791,8.1,1733348,1.7,2167141,33.4,71,7.1,3648,7.0
"C3474","5","102","42","0","2010","A","","Muskegon, MI MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2435,36187,1074040632,263036818,10250650,571,29681,"",0.94,0.94,0.79,0.87,0.68,0.84,0.84,"",-22,-0.9,-419,-1.1,9527826,0.9,-1308302,-0.5,993637,10.7,12,2.1,600,2.1
