"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"C3678","0","10","40","0","2010","A","","Oshkosh-Neenah, WI MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",3656,88609,3805197534,841464792,30486682,826,42944,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-60,-1.6,1055,1.2,189239400,5.2,27818232,3.4,9801452,47.4,32,4.0,1644,4.0
"C3678","1","10","41","0","2010","A","","Oshkosh-Neenah, WI MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,529,27424130,0,0,997,51858,"",0.73,0.26,0.21,0.00,0.00,0.82,0.82,"",-1,-4.8,29,5.8,775895,2.9,0,0.0,0,0.0,-29,-2.8,-1492,-2.8
"C3678","2","10","41","0","2010","A","","Oshkosh-Neenah, WI MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",20,3586,166856951,0,0,895,46533,"",0.74,1.12,1.16,0.00,0.00,1.03,1.03,"",0,0.0,-37,-1.0,-2758740,-1.6,0,0.0,0,0.0,-5,-0.6,-282,-0.6
"C3678","3","10","41","0","2010","A","","Oshkosh-Neenah, WI MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",114,7138,261443243,992200,30201,704,36627,"",1.71,0.73,0.67,0.08,0.18,0.92,0.92,"",1,0.9,105,1.5,163032,0.1,217429,28.1,4875,19.2,-10,-1.4,-524,-1.4
"C3678","5","10","41","0","2010","A","","Oshkosh-Neenah, WI MSA","Private","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",3502,77357,3349473210,840472592,30456481,833,43299,"",0.99,1.05,1.07,1.02,1.01,1.02,1.01,"",-60,-1.7,958,1.3,191059213,6.0,27600803,3.4,9796577,47.4,38,4.8,1958,4.7
"C3678","5","101","42","0","2010","A","","Oshkosh-Neenah, WI MSA","Private","Goods-producing","MSA, by Domain -- by ownership sector","All establishment sizes",672,27909,1539802314,376228837,16368329,1061,55173,"",1.31,2.14,2.36,2.14,1.93,1.10,1.10,"",-24,-3.4,772,2.8,155927767,11.3,18296067,5.1,5379136,48.9,80,8.2,4178,8.2
"C3678","5","1011","43","0","2010","A","","Oshkosh-Neenah, WI MSA","Private","Natural resources and mining","MSA, by Supersector -- by ownership sector","All establishment sizes",30,367,11277245,4573047,113636,591,30742,"",0.58,0.29,0.20,0.27,0.17,0.67,0.67,"",0,0.0,34,10.2,1406796,14.3,569885,14.2,39911,54.1,20,3.5,1056,3.6
"C3678","5","1012","43","0","2010","A","","Oshkosh-Neenah, WI MSA","Private","Construction","MSA, by Supersector -- by ownership sector","All establishment sizes",317,3278,163583232,50902950,4236709,960,49903,"",0.98,0.86,0.94,0.90,1.29,1.10,1.10,"",-21,-6.2,30,0.9,7882982,5.1,2826624,5.9,436547,11.5,38,4.1,1962,4.1
"C3678","5","1013","43","0","2010","A","","Oshkosh-Neenah, WI MSA","Private","Manufacturing","MSA, by Supersector -- by ownership sector","All establishment sizes",325,24264,1364941837,320752840,12017984,1082,56254,"",2.33,3.05,3.24,3.13,2.65,1.06,1.06,"",-4,-1.2,707,3.0,146637989,12.0,14899558,4.9,4902678,68.9,87,8.7,4537,8.8
"C3678","5","102","42","0","2010","A","","Oshkosh-Neenah, WI MSA","Private","Service-providing","MSA, by Domain -- by ownership sector","All establishment sizes",2830,49448,1809670896,464243755,14088152,704,36598,"",0.94,0.82,0.73,0.72,0.65,0.89,0.89,"",-36,-1.3,187,0.4,35131446,2.0,9304736,2.0,4417441,45.7,11,1.6,575,1.6
"C3678","5","1021","43","0","2010","A","","Oshkosh-Neenah, WI MSA","Private","Trade, transportation, and utilities","MSA, by Supersector -- by ownership sector","All establishment sizes",726,13430,416716096,150398502,4873508,597,31030,"",0.95,0.79,0.68,0.77,0.78,0.86,0.86,"",-19,-2.6,-132,-1.0,6981628,1.7,1386485,0.9,1619696,49.8,16,2.8,818,2.7
"C3678","5","1022","43","0","2010","A","","Oshkosh-Neenah, WI MSA","Private","Information","MSA, by Supersector -- by ownership sector","All establishment sizes",45,1479,79079348,18611761,634423,1028,53480,"",0.77,0.79,0.62,0.75,0.63,0.78,0.78,"",-4,-8.2,-163,-9.9,-3482813,-4.2,-2163338,-10.4,290497,84.5,61,6.3,3209,6.4
"C3678","5","1023","43","0","2010","A","","Oshkosh-Neenah, WI MSA","Private","Financial activities","MSA, by Supersector -- by ownership sector","All establishment sizes",304,3452,153284767,36442598,917693,854,44405,"",0.92,0.67,0.44,0.56,0.40,0.65,0.65,"",-14,-4.4,3,0.1,6772327,4.6,1185556,3.4,358526,64.1,37,4.5,1927,4.5
